H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Col8a1	32175.34	20928.21	25265.6	21244.22	50383.87	-0.62	-0.6	0.02
Colec12	610.18	1173.75	1712.77	891.92	617.33	0.94	0.55	-0.4
Colgalt1	17526.19	31116.48	33567.09	26540.94	18414.33	0.83	0.6	-0.23
Colq	1919.96	2942.7	2982.69	2139.98	1117.7	0.62	0.16	-0.46
Commd1	7522.48	8109.62	8603.57	8263.86	8456.07	0.11	0.14	0.03
Commd10	2809.15	4177.23	5069.91	2862.39	2268.63	0.57	0.03	-0.55
Commd2	5261.04	4199.01	4377.55	4765.17	4267.97	-0.33	-0.14	0.18
Commd3	11833.78	18372.44	22278.72	14439.77	12763.31	0.63	0.29	-0.35
Commd4	3711.26	3264.92	3640.67	3993.28	3562.05	-0.18	0.11	0.29
Commd6	5800.43	8748.31	9708.49	5682.82	4884.23	0.59	-0.03	-0.62
Commd7	8145.08	13296.15	17182.54	8277.3	10461.55	0.71	0.02	-0.68
Commd8	6636	6893.11	8988.18	5891.02	10138.15	0.05	-0.17	-0.23
Commd9	1130.18	1157.85	1457.27	967.03	1434.24	0.03	-0.22	-0.26
Comp	7083.85	14729.57	18808.84	10877.05	8275.27	1.06	0.62	-0.44
Comt	16623.66	20996.42	24252.34	17559.69	16634.54	0.34	0.08	-0.26
Comtd1	5768.17	8640.04	9882.55	5631.24	6675.75	0.58	-0.03	-0.62
Copa	5845.94	6955.27	7366.96	4731.35	5142.05	0.25	-0.31	-0.56
Copb1	14115.24	11204.88	13679.48	9788.58	9182.79	-0.33	-0.53	-0.19
Copb2	4433.96	6953.17	7431.02	4111.57	3541.51	0.65	-0.11	-0.76
Cope	20364.26	34007.14	42256.81	25019.36	17159.58	0.74	0.3	-0.44
Copg1	10560.68	12337.47	15558.08	10985.99	12626.78	0.22	0.06	-0.17
Copg2	2863.05	5489.19	5372.09	4430.44	4865.84	0.94	0.63	-0.31
Coprs	1452.24	2753.66	3304.79	1711.98	1440.73	0.92	0.24	-0.69
Cops2	8695.27	10042.05	11175.54	11690.61	10773.45	0.21	0.43	0.22
Cops3	6021.14	7802.43	8508.14	5974.11	5428.74	0.37	-0.01	-0.39
Cops4	6377.25	8905.52	9285.36	6028.23	6388.62	0.48	-0.08	-0.56
Cops5	9321.17	11991	14791.59	8366.1	11775.86	0.36	-0.16	-0.52
Cops6	9645.89	11824.85	14958.05	12732.08	9472.7	0.29	0.4	0.11
Cops7a	16617.26	16604.49	16128.2	16565.61	16118.61	0	0	0
Cops7b	4733.7	7261.09	8814.21	6527.93	5003.01	0.62	0.46	-0.15
Cops8	18621.19	13674.19	16194.29	16571.38	12199.6	-0.45	-0.17	0.28
Copz1	14304.18	15991.68	16536.34	16604.22	14478.15	0.16	0.22	0.05
Copz2	33934.83	32644.07	32676.79	36067.08	25815.62	-0.06	0.09	0.14
Coq10a	13819.83	19467.57	19815.77	14578.03	11903.93	0.49	0.08	-0.42
Coq10b	10526.13	12603.35	13572.63	9202.82	9170.23	0.26	-0.19	-0.45
Coq2	1494.31	2438.66	2735.25	1825.3	1273.47	0.71	0.29	-0.42
Coq4	9644.78	13534.02	13896.86	10963.78	8066.08	0.49	0.18	-0.3
Coq5	15807.75	13764.49	14011.24	21460.19	16265.9	-0.2	0.44	0.64
Coq6	3360.08	5403.05	5999.96	3931.76	3044.77	0.69	0.23	-0.46
Coq7	13718.33	17741.85	26633.18	17145.56	21607.91	0.37	0.32	-0.05
Coq9	6986.09	11664.11	12414.36	11246.14	8065.93	0.74	0.69	-0.05
Coro1b	28363.19	39764.96	38445.01	29304.89	24453.53	0.49	0.05	-0.44
Coro1c	27668.24	25221.35	26341.68	32357.58	18566.15	-0.13	0.23	0.36
Coro7	43749.14	50531.48	53477.41	49788.08	32784.02	0.21	0.19	-0.02
Cotl1	1663.29	3449.6	3590.91	2147.37	1327.88	1.05	0.37	-0.68
Cox15	30736.73	33071.54	45139.46	24797.55	27936.75	0.11	-0.31	-0.42
Cox16	2762.97	2707.39	2354.62	2149.51	2554.54	-0.03	-0.36	-0.33
Cox17	11193.36	8358.06	8784.26	9755.34	9169.64	-0.42	-0.2	0.22
Cox18	3736.2	5025.62	4889.99	3215.11	2831.98	0.43	-0.22	-0.64
Cox19	14824.98	13798.26	16008.77	23620.86	16761.98	-0.1	0.67	0.78
Cox20	20991.81	22490.19	24685.35	19190.72	20194.75	0.1	-0.13	-0.23
Cox4i1	5731.98	11180.82	13277.97	6803.53	4239.23	0.96	0.25	-0.72
Cox5a	11330.66	11774.84	11116.59	11911.27	9356.43	0.06	0.07	0.02
Cox5b	5081.24	7542.36	8228.8	6867.4	5314.5	0.57	0.43	-0.14
Cox6a1	7398.76	8179.7	9260.73	8908.41	6123.81	0.14	0.27	0.12
Cox6c	8554.72	12351.73	15536.38	12373.13	13063.13	0.53	0.53	0
Cox7a2	4646.55	3665.76	3862.89	3434.44	3976.56	-0.34	-0.44	-0.09
Cox7a2l	4018.44	5895.6	5610.78	4256.37	3124.07	0.55	0.08	-0.47
Cox7b	4422.19	4052.86	3423.62	3813	4435.45	-0.13	-0.21	-0.09
Cox7c	2033.5	3678.37	3718.41	1698.91	1917.32	0.86	-0.26	-1.11
Cox8a	25009.27	23834.58	23723.8	35359.42	16476.13	-0.07	0.5	0.57
Cp	9344.47	7626.33	6858.31	10436.92	34376.29	-0.29	0.16	0.45
Cpd	2626.58	4799.43	4736.62	2561.59	2585.68	0.87	-0.04	-0.91
Cpe	11874.7	23987.78	31929.25	13851.02	19112.83	1.01	0.22	-0.79
Cpeb1	2401.51	5433.15	7744.46	3441.31	2175.85	1.18	0.52	-0.66
Cpeb4	10905.04	11509.55	11106.63	10989.7	11527.82	0.08	0.01	-0.07
Cpne5	3841.78	11406.05	10941.07	4531.5	4160.36	1.57	0.24	-1.33
Cpne7	17171.89	23354.86	30228.87	22355.3	21290.51	0.44	0.38	-0.06
Cpox	2483.86	3003.62	4036.73	2599.69	2127.69	0.27	0.07	-0.21
Cpped1	3817.15	3952.4	3502.75	3232.33	2600.06	0.05	-0.24	-0.29
Cpq	12351.19	8824.84	9059.65	12623.16	18786.01	-0.49	0.03	0.52
Cpsf1	7871.2	20206.63	19461.02	10495.64	12247.47	1.36	0.42	-0.95
Cpsf2	6188.86	9872.47	10454.01	5924.72	6657.57	0.67	-0.06	-0.74
Cpsf3	5603.84	9886.52	10934.71	6368.97	5799.12	0.82	0.18	-0.63
Cpsf3l	17247.76	18264.04	19167.53	21522.67	17060.29	0.08	0.32	0.24
Cpsf4	16463.79	19543.93	20428.11	20603.41	16710.82	0.25	0.32	0.08
Cpsf6	5612.55	7997.77	8738.36	5892.17	6151.95	0.51	0.07	-0.44
Cpsf7	11632.59	13338.38	13964.22	9277.13	9498.79	0.2	-0.33	-0.52
Cpt1a	17391.39	22185.15	21646.89	28979.17	32140.47	0.35	0.74	0.39
Cpt1c	19264.52	20272.74	20605.23	22193	17118.23	0.07	0.2	0.13
Cpt2	9075.19	8324.05	9390.77	14313.48	6952.41	-0.12	0.66	0.78
Cptp	17268.71	18314.48	19194.73	21531.5	17094.56	0.08	0.32	0.23
Cpz	21321.65	9017.35	10312.82	29408.02	17904.49	-1.24	0.46	1.71
Cr1l	2931.28	3694.32	4309.02	3275.38	3596.29	0.33	0.16	-0.17
Cradd	2045.21	2900.73	3601.41	2225.5	2119.18	0.5	0.12	-0.38
Crat	82697.22	124304.4	144693.63	106866.99	108344.5	0.59	0.37	-0.22
Crbn	846.59	1459.74	1896.14	742.03	1015.26	0.79	-0.19	-0.98
Crcp	10839.78	9377.32	11427.22	15027.03	10172.95	-0.21	0.47	0.68
Creb1	6760.38	10087.6	10160.12	6416.32	5114.97	0.58	-0.08	-0.65
Creb3	47210.77	50521.02	55241.93	41070.2	31518.33	0.1	-0.2	-0.3
Creb3l1	7817.8	11326.53	14994.16	11234.38	9036.94	0.53	0.52	-0.01
Creb3l2	58061.94	53620.28	54345.27	58875.37	52126.39	-0.11	0.02	0.13
Creb5	1911.64	1745.39	2415.02	1976.48	2249.99	-0.13	0.05	0.18
Crebbp	5729.45	8992.27	14445.69	7078.37	6019.85	0.65	0.31	-0.35
Crebl2	7355.53	7455.44	10133.59	7410.57	7609.02	0.02	0.01	-0.01
Crebrf	12694.69	10253.09	11260.66	12915.64	15774.73	-0.31	0.02	0.33
Crebzf	6036.09	8726.77	9977.86	5592.55	4122.99	0.53	-0.11	-0.64
Creld1	5990.45	8931.68	9838.4	11199.29	11608.94	0.58	0.9	0.33
Creld2	28702.71	26078.08	26038.91	32836.01	13766.82	-0.14	0.19	0.33
Crem	10112.7	13876.33	15526.07	11465.37	12635.02	0.46	0.18	-0.28
Crim1	18419.58	13730.25	12748.54	19532	13632.32	-0.42	0.08	0.51
Crip1	33487.77	40628.67	46154.32	40288.62	22446.74	0.28	0.27	-0.01
Crip2	35239.78	44110.22	50250.77	43611.03	23828.66	0.32	0.31	-0.02
Cript	3724.41	5679.71	6149.96	3661.52	4812.92	0.61	-0.02	-0.63
Crk	27543.08	31597.99	33805.73	25830.16	19774.75	0.2	-0.09	-0.29
Crkl	5072.32	6427.89	6780.81	5560.17	4386.62	0.34	0.13	-0.21
Crlf1	29051.27	62294.2	70981.05	35076.18	20381.65	1.1	0.27	-0.83
Crlf2	2988.97	5358.65	6688.72	4738.65	2493.13	0.84	0.66	-0.18
Crlf3	11523.1	7640.23	9190.55	8772.21	9573.82	-0.59	-0.39	0.2
Crls1	6855.96	7589.94	10149.01	7885.75	7340.37	0.15	0.2	0.06
Crmp1	75.86	355.04	471.75	163.92	78.69	2.23	1.11	-1.12
Crnkl1	15404.58	9766.86	8340.69	14321.98	16326.82	-0.66	-0.11	0.55
Crocc	3692.42	4443.92	3826.49	4658.6	2610.33	0.27	0.34	0.07
Crot	3401.26	2682.15	2061.03	3212.28	3489.62	-0.34	-0.08	0.26
Crtap	9720.72	16877.96	13467.77	12469.92	5291.07	0.8	0.36	-0.44
Crtc1	25834.86	53037	61338.5	28031.34	16505.38	1.04	0.12	-0.92
Crtc2	21653.34	27751.89	29582.79	24390.41	22231.9	0.36	0.17	-0.19
Cry1	2733.3	6365.11	5199.01	2961.32	1647.41	1.22	0.12	-1.1
Cry2	14575.01	19991.39	19436.39	19388.62	16160.15	0.46	0.41	-0.04
Cryab	21576.52	23754.97	28472.21	23124.01	26471.61	0.14	0.1	-0.04
Crybb1	36457.72	41341.38	41840.3	39590.49	28825.58	0.18	0.12	-0.06
Cryl1	2672.79	3693.24	3845.93	5072.83	3439.93	0.47	0.92	0.46
Cryz	2362.63	3060.27	4006.78	2628.02	2857.46	0.37	0.15	-0.22
Cryzl1	9921.79	11060.36	8912	8298.28	6385.03	0.16	-0.26	-0.41
Cs	12121.63	14779.91	13747.73	10202.14	10775.52	0.29	-0.25	-0.53
Csdc2	7263.23	7230.47	8073.33	9216.34	7848.23	-0.01	0.34	0.35
Cse1l	3430.37	5557.49	5655.49	4015.7	3290.76	0.7	0.23	-0.47
Csf1	29659.02	28789.74	32370.04	34936.84	34135.88	-0.04	0.24	0.28
Csf2ra	2069.36	4236.15	5407.85	3698.36	1856.05	1.03	0.84	-0.2
Csgalnact2	9151.55	6555.07	6320.09	7253.49	10090.32	-0.48	-0.34	0.15
Csnk1a1	19287.95	20279.42	21329.01	20387.55	20258.16	0.07	0.08	0.01
Csnk1d	22998.24	26586.98	30257.24	24310.59	21298.33	0.21	0.08	-0.13
Csnk1e	15229.98	18311.04	19425.13	19356.02	15011.23	0.27	0.35	0.08
Csnk1g2	23319.08	32714.65	30018.26	30426.38	17383.63	0.49	0.38	-0.1
Csnk2a1	3948.62	6259.67	7707.42	3676.6	3246.11	0.66	-0.1	-0.77
Csnk2a2	5130.54	10223.41	11427.17	7025.31	7514.88	0.99	0.45	-0.54
Csnk2b	13790.57	23019.05	23324.28	17818.9	11440.92	0.74	0.37	-0.37
Cspg4	33067.71	48213.14	53143.42	57376.8	40713.58	0.54	0.8	0.25
Cspg5	683.88	479.5	880.41	783.12	386.08	-0.51	0.2	0.71
Csrnp1	38179.88	56381.15	65756.8	40122.87	30431.09	0.56	0.07	-0.49
Csrnp2	5303.57	7622.02	6607.51	6013.28	4067.04	0.52	0.18	-0.34
Csrp1	87545.66	122806.47	145312.57	109481.82	98323.46	0.49	0.32	-0.17
Csrp2	4782.39	6253.27	6739.21	3387.41	2369.52	0.39	-0.5	-0.88
Cst3	7033.76	6160.3	5416.71	5421.76	8209.25	-0.19	-0.38	-0.18
Cstb	17454.35	22273.23	21263.6	21765.53	18374.39	0.35	0.32	-0.03
Cstf1	5276.58	8252.03	8899.83	4865.88	4239.35	0.65	-0.12	-0.76
Cstf2	12762.62	12367.43	13188.66	11987.84	29408.44	-0.05	-0.09	-0.04
Cstf2t	6509.61	9061.45	10487.68	6415.13	10452.11	0.48	-0.02	-0.5
Cstf3	5516.57	6026.44	5869.81	4049.95	3812.23	0.13	-0.45	-0.57
Ctbp1	5149.74	9468.92	10045.94	6577.27	4203.83	0.88	0.35	-0.53
Ctbp2	27891.85	21526.04	28325.34	25296.84	32371.83	-0.37	-0.14	0.23
Ctbs	7128.73	6730.42	7455.56	7129.74	7996.68	-0.08	0	0.08
Ctc1	23802.98	25080.98	25079.49	25949.72	20220.07	0.08	0.12	0.05
Ctcf	24115.18	30051.63	33158.3	26890.25	20720.59	0.32	0.16	-0.16
Ctdnep1	25746.13	33433.4	38716.82	26501.85	20037.52	0.38	0.04	-0.34
Ctdp1	6023.97	13212.03	11918.16	9341.33	5199.43	1.13	0.63	-0.5
Ctdsp1	18720.13	22137.3	23938.32	22095.03	16593.77	0.24	0.24	0
Ctdspl2	8668.22	10736.76	10151.23	8716.25	6112.67	0.31	0.01	-0.3
Ctf1	11482.81	12753.38	12967.1	12596.85	8511.07	0.15	0.13	-0.02
Ctgf	127952.02	53416.5	37049.83	70399.28	66794.61	-1.26	-0.86	0.4
Cth	7995.06	7294.54	8513.13	9551.09	11460.16	-0.13	0.26	0.39
Ctnna1	22241.89	23169.11	31155.34	21301.19	24803.06	0.06	-0.06	-0.12
Ctnnal1	1462.81	2375.4	3287.33	2027.86	2076.01	0.7	0.47	-0.23
Ctnnb1	5230.83	8764.35	5868.21	6783.74	4083.4	0.74	0.38	-0.37
Ctnnbip1	18909.55	30012.91	33933.12	22799.13	17035.59	0.67	0.27	-0.4
Ctnnbl1	3476.91	4587.42	4676.21	4341.24	5563.18	0.4	0.32	-0.08
Ctnnd1	18463.76	13095.03	15177.42	16871.63	25101.85	-0.5	-0.13	0.37
Ctns	7718.7	10979.72	10840.97	9313.91	6982.19	0.51	0.27	-0.24
Ctps1	20247.49	22708.66	26736.15	21671.42	21192.53	0.17	0.1	-0.07
Ctr9	9683.99	10339.53	8970.55	14443.78	14390.79	0.09	0.58	0.48
Ctrb1	54919.42	69550.18	71588.44	64850.57	43886.79	0.34	0.24	-0.1
Ctsa	28888.72	34048.54	39970	35039.9	26392.08	0.24	0.28	0.04
Ctsb	28861.23	32903.23	33002.52	34789.71	45898.28	0.19	0.27	0.08
Ctsd	17146.16	19965.85	23090.57	28709.24	22775.05	0.22	0.74	0.52
Ctsf	6666.44	5967.39	5263.35	7700.99	5368.34	-0.16	0.21	0.37
Ctsh	2613.29	1775.92	2453.52	3111.78	2610.06	-0.56	0.25	0.81
Ctsl	7917.38	14312.38	14939.49	13597.31	23819.75	0.85	0.78	-0.07
Ctsw	73594.35	118490.31	151473.8	92097.81	79744.5	0.69	0.32	-0.36
Cttnbp2	1924.23	3488.07	4237.08	2815.24	1930.41	0.86	0.55	-0.31
Cttnbp2nl	31063.97	50629.74	54877.97	34648.26	34650.43	0.7	0.16	-0.55
Ctu1	2410.51	2871.46	3232.72	2251.45	2016.06	0.25	-0.1	-0.35
Ctu2	8183.71	12131.02	12542.51	11106.31	5191.53	0.57	0.44	-0.13
Ctxn1	7826.18	10329.58	11094.7	10333.61	5606.21	0.4	0.4	0
Ctxn3	8796.04	5207.63	7172.06	8322.66	6461.14	-0.76	-0.08	0.68
Cuedc1	8355.03	8951.04	11441.47	9941.24	8325.34	0.1	0.25	0.15
Cuedc2	32703.97	58655.89	62896.49	43194.03	42772.85	0.84	0.4	-0.44
Cul1	8552.99	14037.96	18941.93	8903.85	6182.09	0.71	0.06	-0.66
Cul2	5434.04	8353.31	11469.8	6918.22	7245.06	0.62	0.35	-0.27
Cul4a	4665.58	9625.73	12273	5616.77	4173.1	1.04	0.27	-0.78
Cul5	7619.93	9900.82	11802.9	8031.44	6413.44	0.38	0.08	-0.3
Cul9	13716	15149.32	14987.32	13773.63	7740.52	0.14	0.01	-0.14
Cuta	16191.86	30322.86	35174.06	20495.75	14343.15	0.91	0.34	-0.57
Cutc	30736.73	33071.54	45139.46	24797.55	27936.75	0.11	-0.31	-0.42
Cwc15	15739.64	14103.75	15284.53	18453.82	15341.22	-0.16	0.23	0.39
Cwc25	27644.6	29546.34	28786.86	29624.72	25316.98	0.1	0.1	0
Cwc27	4561.84	6371.9	7854.28	4444.96	5672.94	0.48	-0.04	-0.52
Cwf19l1	5108.64	5820.05	6695.89	4603.33	5627.84	0.19	-0.15	-0.34
Cwf19l2	2205.92	1123.25	1537.35	1163.64	2075.34	-0.97	-0.92	0.05
Cx3cl1	3941.18	5380.41	6199.62	9219.05	5919.94	0.45	1.23	0.78
Cxadr	11309.12	9040.27	13959.24	9718.09	17457.57	-0.32	-0.22	0.1
Cxcl1	19426.64	21406.91	26380.37	20063.51	30117.02	0.14	0.05	-0.09
Cxcl10	3192.53	4172.13	4466.08	3128.74	6267.81	0.39	-0.03	-0.42
Cxcl12	10504.49	6536.7	7779.15	12876.66	7517.76	-0.68	0.29	0.98
Cxcl16	4384.29	7499.54	7402.77	4026.54	4308.51	0.77	-0.12	-0.9
Cxcr5	41639.53	48735.26	46903.92	56115.42	39271.15	0.23	0.43	0.2
Cxxc1	2678.8	4137.3	5115.91	2851.71	2721.42	0.63	0.09	-0.54
Cyb561	7073.81	4421.13	4294.1	12187.03	6668.64	-0.68	0.78	1.46
Cyb561d1	6968.53	10720.06	11715.17	8046.94	6423.6	0.62	0.21	-0.41
Cyb561d2	15713.64	26796.75	27784.02	21385.11	15077.21	0.77	0.44	-0.33
Cyb5a	2256.56	1913.66	1758.79	1987.25	2159.91	-0.24	-0.18	0.05
Cyb5b	6755.03	10601.43	12536.35	8021.49	11555.9	0.65	0.25	-0.4
Cyb5d1	53502.33	78956.87	97025.92	59590.98	48310.36	0.56	0.16	-0.41
Cyb5d2	5531.38	8754.65	9397.74	5113.25	4411.65	0.66	-0.11	-0.78
Cyb5r1	7898.83	9163.53	8681.49	8327.67	5744.19	0.21	0.08	-0.14
Cyb5r3	22338.47	19561.27	22491.89	29692.38	15037.35	-0.19	0.41	0.6
Cyb5r4	1346.32	2693.34	3775.82	1563.43	1725.44	1	0.22	-0.78
Cyba	7264.24	9236	10112.33	10891.71	4645.38	0.35	0.58	0.24
Cybrd1	1202.17	1847.37	1913.37	2058.16	1060.06	0.62	0.78	0.16
Cyc1	17996.77	20650.47	25426.04	18876.37	14084.84	0.2	0.07	-0.13
Cycs	7169.86	9071.62	9073.51	8884.23	8930.66	0.34	0.31	-0.03
Cyfip1	6204.54	8781.82	9917.35	6317.29	6115.07	0.5	0.03	-0.48
Cyhr1	13120.9	20057.49	18740.16	14819.83	11331.64	0.61	0.18	-0.44
Cyld	5016.74	4990.61	6779.29	3836.99	2819.32	-0.01	-0.39	-0.38
Cyp1b1	32549.58	44991.39	49598.31	48778.57	76888.69	0.47	0.58	0.12
Cyp20a1	5228.53	6981.36	7082.35	4766.59	4243.2	0.42	-0.13	-0.55
Cyp26a1	1948.54	2799.03	3802.46	2204.19	3619.63	0.52	0.18	-0.34
Cyp26b1	1738.51	4575.47	4369.8	3968.75	2120.11	1.4	1.19	-0.21
Cyp27a1	6801.23	9244.72	9610.05	8906.43	7639.68	0.44	0.39	-0.05
Cyp27b1	5541.1	12129.13	14880.79	8098.88	4764.66	1.13	0.55	-0.58
Cyp2j3	110.57	246.54	230.16	262.24	186.7	1.16	1.25	0.09
Cyp2s1	37791.56	57702.48	73539.23	40368.34	39671.42	0.61	0.1	-0.52
Cyp2u1	4418.74	6777.11	7138.52	4300.77	4696.45	0.62	-0.04	-0.66
Cyp39a1	2501.37	1602.57	2584.29	2147.67	1015.58	-0.64	-0.22	0.42
Cyp4f1	855.11	749.15	668.92	1793.28	814.9	-0.19	1.07	1.26
Cyp4f17	6924.99	9026.36	9410.78	7349.03	6810.92	0.38	0.09	-0.3
Cyp4f5	1327.38	1540.78	1692.16	1900.89	1435.47	0.22	0.52	0.3
Cyp4f6	2092.16	2116.09	2646.93	2059.99	1870.48	0.02	-0.02	-0.04
Cyp4v3	7660.46	7251.59	7787.08	9444.01	9235.11	-0.08	0.3	0.38
Cyp51	9313.26	13077.03	14099.64	6609.8	4555.07	0.49	-0.49	-0.98
Cyr61	43730.22	54214.31	63938.57	35243.84	24936.47	0.31	-0.31	-0.62
Cys1	7941.85	4169.78	4970.5	11473.73	6425.58	-0.93	0.53	1.46
Cyth1	10184.49	10179.73	10439.02	12789.95	11457.25	0	0.33	0.33
Cyth2	10067.03	15236.38	16690.32	14968.01	9598.95	0.6	0.57	-0.03
Cyth3	28889.43	32966.78	30463.88	30211.65	40626.69	0.19	0.06	-0.13
D2hgdh	6271.98	6431.91	7062.13	6993.04	5637.99	0.04	0.16	0.12
Daam1	14299.03	13679.31	16149.87	13960.9	17422.71	-0.06	-0.03	0.03
Dab2ip	9892.79	25592.75	30336.13	16665.36	15534.98	1.37	0.75	-0.62
Dact3	17716.52	19168.64	20717.8	22560.76	18231.59	0.11	0.35	0.24
Dad1	18422.06	24657.32	26006.93	20030.11	21561.86	0.42	0.12	-0.3
Dagla	5742.93	12807.86	14393.77	9870.65	9144.28	1.16	0.78	-0.38
Daglb	4003.43	4649.28	4890.4	4061.45	3666.36	0.22	0.02	-0.2
Dalrd3	7580.57	10590.73	11502.69	11098.39	10607.52	0.48	0.55	0.07
Dap	30435.85	46193.29	50212.89	34806.56	51351.41	0.6	0.19	-0.41
Dap3	10304.43	13068.73	18105.8	10164.96	7849.28	0.34	-0.02	-0.36
Dapk2	17820.99	27306.62	36064.91	15797.15	22868.6	0.62	-0.17	-0.79
Dapk3	25426.96	53654.5	59589.96	38402.06	25906.5	1.08	0.59	-0.48
Dapp1	1092.69	775.83	609.42	1004.86	680.87	-0.49	-0.12	0.37
Dars	4517.05	7000.55	9704.63	3999.72	4961.01	0.63	-0.18	-0.81
Dars2	6724.01	8480.41	7830.13	6152.01	7308.67	0.33	-0.13	-0.46
Daxx	9990.28	16421.46	17337.25	12970.59	9322.57	0.72	0.38	-0.34
Dazap1	9945.48	13163.18	14522.57	13260.74	9816.02	0.4	0.42	0.01
Dazap2	8759.27	12945.95	13926.63	11464.19	7383.68	0.56	0.39	-0.18
Dbf4	2776.83	4604.83	3771.78	2938.94	1866.52	0.73	0.08	-0.65
Dbi	8886.7	12626.68	12268.97	9600.33	8756.76	0.51	0.11	-0.4
Dbil5	9512.04	12433.82	12588.72	11017.76	9876.82	0.39	0.21	-0.17
Dbn1	33952.22	56453.99	54362.39	39964.33	22995.75	0.73	0.24	-0.5
Dbndd1	10504.8	26520.74	33775.54	20829.83	10937.96	1.34	0.99	-0.35
Dbndd2	77248.74	97737.52	113554.61	76142.5	82222.14	0.34	-0.02	-0.36
Dbnl	17820.19	14375.38	15272.47	18946.7	13196.43	-0.31	0.09	0.4
Dbp	20614.79	20519.96	20905.9	26650.98	18575.99	-0.01	0.37	0.38
Dbr1	15160.19	17009.02	18928.57	14368.55	13077.73	0.17	-0.08	-0.24
Dbt	5937.77	3508.14	3333.7	3830.15	3479.5	-0.76	-0.63	0.13
Dcaf10	5028.6	7236.11	7219.19	4167.47	4389.06	0.53	-0.27	-0.8
Dcaf11	8369.66	8065.86	8883.98	8911	6832.6	-0.05	0.09	0.14
Dcaf13	4951.38	6968.74	8049.93	4212.24	3806.09	0.49	-0.23	-0.73
Dcaf15	5780.96	7626.6	7736.06	8660.8	5734.66	0.4	0.58	0.18
Dcaf17	4998.44	5806.12	5842.5	4934.23	4077.89	0.22	-0.02	-0.23
Dcaf4	1132.61	1049.65	1697.16	1469.89	979.92	-0.11	0.38	0.49
Dcaf5	41100.97	39813.46	45333.6	30589.14	24251.85	-0.05	-0.43	-0.38
Dcaf6	6331.27	9386.69	7922.04	6924.24	4442.53	0.57	0.13	-0.44
Dcaf7	1948.11	2665.86	3833.75	2237.03	1863.07	0.45	0.2	-0.25
Dcaf8	11135.65	9811.89	10125.8	10172.49	9826.18	-0.18	-0.13	0.05
Dcakd	33282.48	40084.64	44551.89	36230.27	39731.72	0.27	0.12	-0.15
Dcbld2	8614.61	5596.89	5469.65	5932.19	6977.92	-0.62	-0.54	0.08
Dcdc2	15140.17	6451.07	6357.27	6168.47	4758.29	-1.23	-1.3	-0.06
Dck	1967.68	2192.21	2029.91	2266.9	1659.36	0.16	0.2	0.05
Dclk1	4577.19	6989.4	10113.54	7698.34	10133.85	0.61	0.75	0.14
Dclk2	519.04	1164.71	1544.01	801.5	571.88	1.17	0.63	-0.54
Dclre1a	13089.92	17805.23	20969.81	13772.39	13344.02	0.44	0.07	-0.37
Dclre1b	11650.14	11850.81	16432.01	11168.79	15994.29	0.02	-0.06	-0.09
Dclre1c	2743.2	3233.28	2676.47	2619.08	2555.83	0.24	-0.07	-0.3
Dcp1a	6964.4	7913.51	9623.74	5466.41	6009.11	0.18	-0.35	-0.53
Dcp2	1517.64	945.68	653.03	1204.97	855.15	-0.68	-0.33	0.35
Dcps	25826.59	33369.88	40374.54	35391.83	42460.1	0.37	0.45	0.08
Dctn2	10824.43	16039.7	19671.49	14590.16	12277.34	0.57	0.43	-0.14
Dctn3	6719.7	6458.48	6922.78	7972.96	5349.61	-0.06	0.25	0.3
Dctn4	14316.6	20217.7	23954.44	15777.15	25506.66	0.5	0.14	-0.36
Dctn5	3405.64	5141.18	5635.94	3192.24	3150.26	0.59	-0.09	-0.69
Dctn6	19474.94	11503.58	13668.8	13605.12	14758.39	-0.76	-0.52	0.24
Dctpp1	23916.02	28168.64	28970.11	22951.29	19601.18	0.24	-0.06	-0.3
Dcun1d1	1722.47	3468.75	3423.37	1855.47	1428.19	1.01	0.11	-0.9
Dcun1d2	2218.97	3918.52	4526.49	2847.67	1903.38	0.82	0.36	-0.46
Dcun1d3	23618.78	20421.79	23771.21	18071.82	23541.53	-0.21	-0.39	-0.18
Dcun1d4	3342.88	4801.28	4445.34	4443.85	2354.49	0.52	0.41	-0.11
Dcun1d5	5461.58	8542.04	10671.09	4656.1	5765.98	0.65	-0.23	-0.88
Dcxr	6551.39	7667.93	9201.04	13168.33	8644.82	0.23	1.01	0.78
Dda1	11566.88	19182	21490.86	15084.78	11587.32	0.73	0.38	-0.35
Ddah1	26632.11	35018.62	39325.53	21142.56	20835.43	0.39	-0.33	-0.73
Ddah2	10088	14875.83	18307.47	16050.43	14782.54	0.56	0.67	0.11
Ddb1	23437.06	22073.01	20510.81	17941.94	19682.38	-0.09	-0.39	-0.3
Ddb2	6416.7	8076.96	7119.66	6813.41	6163.15	0.33	0.09	-0.25
Ddhd1	5865.37	9554.94	10714.32	6063.57	4293.92	0.7	0.05	-0.66
Ddi2	8803.06	13060.56	13964.23	9335.36	9696.07	0.57	0.08	-0.48
Ddias	25206.08	16252.37	18861.48	15616.85	19305.41	-0.63	-0.69	-0.06
