H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Agfg2	17848.01	16692.73	15116.74	19877.55	12817.81	-0.1	0.16	0.25
Agk	2290.1	3105.09	3216.55	2239.16	3040.8	0.44	-0.03	-0.47
Agl	5062.67	3681.12	3892.7	3635.8	7369.65	-0.46	-0.48	-0.02
Ago1	1708.97	3082.74	3747.53	2645.45	1669.51	0.85	0.63	-0.22
Ago2	18692.67	48649.86	62726.61	23888.01	25975.29	1.38	0.35	-1.03
Ago3	5150.52	5830.57	7817.21	4330.82	4365.49	0.18	-0.25	-0.43
Ago4	1020.08	1681.9	1962.71	1690.2	1211.68	0.72	0.73	0.01
Agpat1	13383.05	20281.22	20060.82	15822.82	11583.54	0.6	0.24	-0.36
Agpat2	20268.24	45128.24	63303.42	32283.97	21034.86	1.15	0.67	-0.48
Agpat3	17031.67	21215.78	34018.54	20338.07	15856.7	0.32	0.26	-0.06
Agpat4	10079.7	16678.02	18428.85	15022.34	13028.36	0.73	0.58	-0.15
Agpat5	16976.7	8476.21	8579.58	13405.79	9821.29	-1	-0.34	0.66
Agps	3849.39	6410.02	7382.75	3733.71	3285.46	0.74	-0.04	-0.78
Agrp	21594.67	17765.25	16625.97	22978.87	16875.46	-0.28	0.09	0.37
Agtr1a	12880.88	8250.14	8376.77	11724.47	15360.82	-0.64	-0.14	0.51
Agtrap	9838.02	10768.82	11647.79	12598.96	9228.59	0.13	0.36	0.23
Ahctf1	8331.25	10578.9	13390.13	8743.15	6358.57	0.34	0.07	-0.27
Ahcy	2838.24	4705.52	4741.69	3511.07	2377.77	0.73	0.31	-0.42
Ahcyl1	21038.63	20612.67	24511.36	17178.9	25330.87	-0.03	-0.29	-0.26
Ahcyl2	3552.14	5071.68	5325.06	3463.52	3064.55	0.51	-0.04	-0.55
Ahdc1	22388.97	41213.54	49450.95	30829.13	20335.72	0.88	0.46	-0.42
Ahnak	84918.97	109260.68	145481.92	88407.86	91064.4	0.36	0.06	-0.31
Ahr	35854.39	31442.04	35265.6	28301.39	39874.77	-0.19	-0.34	-0.15
Ahsa1	6678.49	10945.89	11159.43	5977.93	6263.35	0.71	-0.16	-0.87
Ahsa2	5071.53	8425.45	8967.49	5730.21	4747.37	0.73	0.18	-0.56
Aida	22903.62	34635.52	40099.97	26491.35	27290.76	0.6	0.21	-0.39
Aif1l	4500.71	6164.86	7128.85	3921.19	3968	0.45	-0.2	-0.65
Aifm1	5192.3	4346.14	4791.78	4004.96	3864.61	-0.26	-0.37	-0.12
Aig1	9098.18	15582.65	19382.11	6124.77	18541.04	0.78	-0.57	-1.35
Aimp1	3613.67	4908.47	6277.95	3411.58	3210.93	0.44	-0.08	-0.52
Aimp2	11002.32	10556.74	9784.63	9673.13	6678.98	-0.06	-0.19	-0.13
Aip	15801	20195.78	21150.43	16989.86	13020.15	0.35	0.1	-0.25
Ajuba	34061.8	34240.5	42621.35	35490.02	24468.25	0.01	0.06	0.05
Ak1	22098.72	38222.07	48618.46	32277.82	30696.01	0.79	0.55	-0.24
Ak2	12355.39	20906.08	23880.09	21028.92	19331.82	0.76	0.77	0.01
Ak3	10749.87	9159.87	10767.57	10419.07	10538.4	-0.23	-0.05	0.19
Ak4	2273.26	3662.4	4018.48	2634.5	2146.65	0.69	0.21	-0.48
Ak8	1219.74	1807.66	2324.34	1106.97	1197.96	0.57	-0.14	-0.71
Akap10	8046.82	10540.82	11672.91	8327.21	10628.1	0.39	0.05	-0.34
Akap12	8812.54	8984.41	11537.46	8317.18	8345.56	0.03	-0.08	-0.11
Akap13	8690.36	10768.14	12387.82	8785.59	11021.25	0.31	0.02	-0.29
Akap17a	6475.34	12070.49	16436.51	8644.41	6505.54	0.9	0.42	-0.48
Akap2	11390.11	21148.67	26923.03	14956.02	23723.73	0.89	0.39	-0.5
Akap5	25987.74	30484.89	35597.11	29315.93	19134	0.23	0.17	-0.06
Akap8	12770.42	15371.69	18717.27	15773.32	16961.33	0.27	0.3	0.04
Akap8l	11001.02	13230.1	16889.86	12868.57	14782.37	0.27	0.23	-0.04
Akap9	6729.52	8370.98	10026	6962.86	6595.96	0.31	0.05	-0.27
Akip1	29676.48	12125.37	14596.12	23460.74	24037.65	-1.29	-0.34	0.95
Akirin1	3255.65	5946.53	6592.25	3967.08	2821.71	0.87	0.29	-0.58
Akirin2	10715.26	13646.13	16442.79	8550.66	12821.58	0.35	-0.33	-0.67
Akna	5396.38	8900.71	9439.71	7830.96	6397.06	0.72	0.54	-0.18
Akr1a1	11290.34	13496.62	13966.77	10766.65	13551.65	0.26	-0.07	-0.33
Akr1b1	4335.94	4850.55	5940.15	4400.98	4833.99	0.16	0.02	-0.14
Akr1c13	1974.72	1675.06	1870.35	2751.62	6290.66	-0.24	0.48	0.72
Akr1c19	2216.22	897.1	1056.36	2884.05	4813.18	-1.3	0.38	1.68
Akr7a2	26144.47	23866.01	29934.88	37687.91	22824.9	-0.13	0.53	0.66
Akt1	14823	27981.27	35928.3	20833.01	15783.1	0.92	0.49	-0.43
Akt1s1	17725.25	17563.69	19403.25	20727.32	16629.39	-0.01	0.23	0.24
Akt2	10556.55	12825.99	16404.09	12807.93	11317.52	0.28	0.28	0
Akt3	4480.78	5752.67	7537.88	5268.23	5361.38	0.36	0.23	-0.13
Aktip	2307.74	2447.98	2801.19	2082.01	2136.81	0.09	-0.15	-0.23
Alad	3572.35	4439.1	4967.96	5441.46	4783.08	0.31	0.61	0.29
Alas1	12215.93	14002.76	13894.14	14629.82	13375.05	0.2	0.26	0.06
Alcam	4950.53	11577.67	15178.04	6405.48	11741.65	1.23	0.37	-0.85
Aldh16a1	14862.43	18128.32	19045.57	16123.12	15484.82	0.29	0.12	-0.17
Aldh1a2	7307.05	5079.43	6685.71	4988.9	5639.12	-0.52	-0.55	-0.03
Aldh1a3	11506.98	20428.95	18625.34	15123.83	13356.71	0.83	0.39	-0.43
Aldh1l2	6381.16	9505.86	11319.22	5530.94	5909.88	0.57	-0.21	-0.78
Aldh2	14138	10763.8	10565.11	17371.1	13519.6	-0.39	0.3	0.69
Aldh3a2	4746.6	4703.1	4646.03	4111.41	4737.93	-0.01	-0.21	-0.19
Aldh3b1	17587.27	15487.25	14312.62	28657.18	16267.2	-0.18	0.7	0.89
Aldh4a1	38719.05	62611.43	72146	53180.98	46290.67	0.69	0.46	-0.24
Aldh5a1	4414.94	4418.64	5313.75	3562.9	3493.36	0	-0.31	-0.31
Aldh6a1	7636.93	8471.6	7331.39	7692.38	5026.91	0.15	0.01	-0.14
Aldh7a1	4174.26	3541.24	3459.63	4289.29	3301.34	-0.24	0.04	0.28
Aldh9a1	7283.35	6791.47	7867.88	7333	6512.32	-0.1	0.01	0.11
Aldoa	21467.53	28769.58	25896.68	23107.5	18191.08	0.42	0.11	-0.32
Alg1	3103.58	4671.95	5421.87	2685.86	2673.21	0.59	-0.21	-0.8
Alg10	2692.39	4092.67	4251.29	2627.71	2853.39	0.6	-0.04	-0.64
Alg11	1102.85	1456.19	1917.02	831.12	785.68	0.4	-0.41	-0.81
Alg12	28882.63	26377.88	26332.43	32994.29	13967.98	-0.13	0.19	0.32
Alg13	1087.27	2335.51	2865.97	980.16	1028.39	1.1	-0.15	-1.25
Alg14	10734.82	14096.57	14451.53	10789.86	9165.72	0.39	0.01	-0.39
Alg2	12416.04	14508.1	13539.3	12775	14138.61	0.22	0.04	-0.18
Alg3	6627.61	8700	9244.2	5030.78	5212.34	0.39	-0.4	-0.79
Alg5	6139.65	10414.17	10251.72	6488.68	5690.78	0.76	0.08	-0.68
Alg6	1395.32	2341.95	2744.27	1227.64	989.39	0.75	-0.18	-0.93
Alg8	5962.88	8051.28	8294.52	8383.4	5425.42	0.43	0.49	0.06
Alg9	15682.45	17473.24	21397.71	17604.38	20546.83	0.16	0.17	0.01
Alkbh1	6066.13	9064.94	11569.64	6081.09	7409.89	0.58	0	-0.58
Alkbh2	1689.76	2525.4	2685.35	2464.48	1566.37	0.58	0.54	-0.04
Alkbh3	10753.68	12106.27	12818.97	10458.72	10975.59	0.17	-0.04	-0.21
Alkbh4	14808.65	16218.89	16278.96	23101.02	17477.81	0.13	0.64	0.51
Alkbh5	16395.33	25720.49	28156.61	20598.83	16032.1	0.65	0.33	-0.32
Alkbh6	2993.22	4804.44	5443.81	3668.7	3440.68	0.68	0.29	-0.39
Alkbh7	7123.07	10436.08	11570.59	8214.91	7113.19	0.55	0.21	-0.35
Alms1	2245.59	2802.1	1952.17	2465.1	1452.64	0.32	0.13	-0.18
Aloxe3	21482.88	27386.16	30150.31	25212.16	14581.13	0.35	0.23	-0.12
Als2	3513.6	4358.84	4310.52	3330.15	3133.36	0.31	-0.08	-0.39
Alyref	23795.68	39028.13	41673.67	35210.52	29024.99	0.71	0.57	-0.15
