NM_013011	Ywhaz
NM_001106733	Trappc6b
NM_001038495	Atg12
NM_001106235	Ccdc97
NM_001007750	Chpt1
NM_001012091	Foxs1
NM_001007714	Morf4l2
NM_001108761	Sin3a
NM_001105980	Nvl
NM_001014269	Lrrfip1
NM_001109281	Tmem198b
NM_022514	Rpl27
NM_138847	Nip7
NM_001014136	Ngly1
NM_019186	Arl4a
NM_001109352	Foxj2
NM_001014206	RGD1309534
NM_001108700	Gpatch11
NM_001191644	Usp22
NM_001198580	Naca
NM_001271180	Abhd11
NM_001108332	Wbscr16
NM_053973	Rraga
NM_001108821	Abcd1
NM_001014153	Prmt7
NM_001113751	Cdk2ap1
NM_022262	Tsnax
NM_054004	Cand1
NM_001191083	Rpp30
NM_001033890	Rtfdc1
NM_001024327	Zfp467
NM_054011	Sh3bp5
NM_022381	Pcna
NM_031345	Tsc22d3
NM_024135	Limk2
NM_001106978	Glis2
NM_001108727	Coq10a
NM_001037556	Nmnat1
NM_001199178	Apoo
NM_033653	Maoa
NM_001106676	Arhgef39
NM_001008278	Cdkn2aipnl
NM_001106533	Ergic3
NM_001106434	Tm4sf1
NM_001107320	Prosc
NM_012836	Cpd
NM_017253	Bcat1
NM_013122	Igfbp2
NM_001169105	RGD1311747
NM_001126279	Ufl1
NM_001100840	Txndc12
NM_174864	Ncstn
NR_110701	LOC100909539
NM_198738	Psat1
NM_001113570	Gtf3a
NM_017088	Gdi1
NM_001134840	Cnot1
NM_001105774	Rpusd1
NM_001014259	Polr3k
NM_022546	Dapk3
NM_001009693	Thrap3
NM_183328	Ssbp1
NM_001024987	Cwc15
NM_030833	Ifitm2
NM_001108958	Rtf1
NM_001015021	Dnajb11
NM_001024756	Ythdf1
NM_001013982	Orai1
NM_001191568	Pmf1
NM_001108088	Epyc
NM_001105907	Trrap
NM_001033653	Akap12
NM_001100572	Iars
NM_001011974	Akap2
NM_001109116	Prr7
NM_001276483	Smim12
NM_133405	Cry2
NM_001107575	Taf6l
NM_001107466	Fam120b
NM_133535	Cbwd1
NM_001192011	Stard5
NM_057102	Slc25a5
NM_001031660	Msrb2
NM_001106497	Srp14
NM_001033693	Slc31a2
NM_001108192	Glb1
NM_001106258	Tbc1d17
NM_138892	Dctpp1
NM_012992	Npm1
NM_001009705	Atp5sl
NM_001107263	Ngdn
NM_017249	Esyt1
NM_053425	Ccs
NM_001012171	Bscl2
NM_017192	S1pr2
NM_001109161	RGD1560108
NM_001014075	Ldah
NM_001008764	Psenen
NM_001013241	Lzic
NM_017000	Nqo1
NM_184049	Stk25
NM_001029898	Mrpl19
NM_212529	Hsd17b8
NM_001012050	Fbxo8
NM_001108494	Fam168a
NM_001107779	Trmt6
NM_001033888	Numbl
NM_013132	Anxa5
NM_001039606	Gmds
NM_001106076	Cope
NR_131096	LOC100912041
NM_001011991	Ndrg1
NM_001015013	Fam89b
NM_001008322	Shmt2
NM_001108664	Msantd3
NM_001013081	Phyhd1
NM_001107940	Megf9
NM_053920	Trip10
NM_001107542	Usp47
NM_001009601	Klc4
NM_017165	Gpx4
NM_017279	Psma2
NM_053330	Rpl21
NM_001013969	Slc46a1
